asin,title,about_item,breadcrumbs,brand_name,price_value,rating_stars,rating_count,recent_purchases,all_images,product_url
B07Q6CKRQL,"mDesign Plastic Portable Craft Storage Organizer Caddy Tote, Divided Basket Bin with Handle for Crafts, Sewing, Art Supplies - Holds Brushes, Colored Pencils - Lumiere Collection - Sand Tint","SMART STORAGE: Great for paint, glitter, yarn, ribbons, paper, markers, crayons, albums and fabric; Multiple storage options including scrapbook supplies, photo storage, card making supplies, dies, templates, punches, stamps and more; Use at home for kids arts and crafts, or in the classroom or art studio - the sturdy construction makes these perfect for a multitude or organizational needs PORTABLE: Easy grip integrated handle makes these bins portable; The handle makes it easy and convenient to pull these off the shelf, out of the cabinet or closet - especially when they are up high; Use more than one to create a storage system that works for you; Keep items organized and ready - just grab and go VERSATILE & COMPACT: This grab and go storage caddy is great for other rooms in your home - try them in bedrooms, laundry rooms, kitchens, craft rooms, garage and more; The compact size also makes them great for dorm rooms, kids rooms, RVs, cabins, and campers QUALITY CONSTRUCTION: Made of durable plastic; Drainage holes in bottom of the tote let water flow away to keep items dry; EASY CARE: Clean with mild soap and water; Do not place in dishwasher THOUGHTFULLY SIZED: Measures 6"" x 9.6"" x 6.75"" high","Arts, Crafts & Sewing › Organization, Storage & Transport › Storage Boxes & Organizers",mDesign,16.49,4.8,4629.0,8454,['https://m.media-amazon.com/images/I/61P33E98+kL._AC_SL1500_.jpg'],https://www.amazon.com/dp/B07Q6CKRQL
B0C7ZPTY8M,"Upgraded Wax Seal Stamp Kit, Anezus 790pcs Sealing Wax Kit with Wax Seal Beads, Wax Stamp, Wax Warmer, Vintage Envelopes, and Gift Box for Letter Sealing, Invitation Cards, Craft Decoration","🎁 UPGRADED WAX SEALING STAMP KIT: Anezus sealing wax kit comes with approx. 756 pieces wax seal beads in 28 different colors, 5 wax stamps, a handle, a wax warmer, a wax melting spoon, 10 tealight candles, 10 vintage envelopes, a tweezer, a bundle jute twine, 2 metallic pens, 1 user manual and a gift box. Includes all you need for wax seal, crafts and decoration 🎁 MORE QUANTITY AND COLORS SEALING WAX: These wax sealing beads are made of good quality resin and wax, smokeless, odorless, non-toxic, melt easily and dry quick that are super easy to print. The letter wax beads are in 28 different colors, providing you a good selection of colors to meet your needs when doing your wax stamp seals 🎁 EXQUISITE PACKAGING BOX: The letter wax seal stamp kit comes with a beautiful gift box which is a perfect gift for birthdays, Valentine's Day, Mother's Day, Christmas, Anniversary, and so on. With a detailed instruction manual inside, it is ideal for wax seal lovers and beginners 🎁 MORE SEALING STAMPS WITH CUTE PATTERNS: The wax seal stamp kit includes 5 pieces wax seal stamps in lovely patterns. The wax warmer and wax melting spoon help you make your own wax seal stamp more efficiently and save your efforts 🎁 MULTIPLE USAGE: The wax seal set helps you make perfect wax seals quickly and evenly. Great for making wedding and party invitations, Christmas letters, maps, retro letters, manuscripts, envelopes, parcels, cards, crafts, gift sealing, wine sealing, gift packaging, and other craft projects","Arts, Crafts & Sewing › Crafting › Craft Supplies › Adhesives › Adhesive Waxing",anezus,20.99,4.7,2783.0,8406,['https://m.media-amazon.com/images/I/814TfmvOlmL._SL1500_.jpg'],https://www.amazon.com/dp/B0C7ZPTY8M
B0C6NKFH9F,PANDORA Jewelry Beaded Heart Rose Charm,"Whisper ""I love you"" with this hand-finished, romantic, open heart Pandora charm Show your love and adorn your favorite charm bracelet with Pandora heart charms For Pandora Moments, our original line of jewelry to highlight a life story Exquisitely crafted in sustainable & durable Pandora Rose gold Give a voice to your loves and experiences through unique, hand-crafted jewelry","Arts, Crafts & Sewing › Beading & Jewelry Making › Beads & Bead Assortments",PANDORA,30.01,4.8,1458.0,8550,['https://m.media-amazon.com/images/I/71T0RDI2vUL._AC_UL1500_.jpg'],https://www.amazon.com/dp/B0C6NKFH9F
B0BVLVPK9D,"WZHHPIDN Sewing Machine, Mini Sewing Machine Handheld, Cordless Portable Electric Sewing Machine with Sewing Accessories for Beginners, Suitable for Clothing, Curtains, DIY Home Travel, Black","✄【Perfect Portable Design】Mini handheld sewing machine, lightweight and compact, easy to carry, ergonomic design. You can easily solve the sewing problem when you meet the emergency problem of sudden disconnection, which is very convenient. The portable sewing machine is a good helper for life, suitable for home, travel etc. ✄【Widely Used and Easy to Operate】Small household sewing machine is suitable for fabrics, clothing, pants, jeans,T-shirts, curtains and wall hangings. Beginners can also use it, children can make DIY creations, sewing small clothes, handkerchiefs etc. This is not only a toy, it can also cultivate good habit of children's hands-on and add more fun(note: out of reach of babies). ✄【Powered By 2 Ways】Start your sewing work conveniently, even if without power socket. Choose 4 x AA batteries or DC 6V 600mA power adaptor(not included), but don't use both 2 powers at the same time. Make sure that the power of the machine is switched off before you load batteries. Note: The suitable sewing thickness cannot over 1.8mm. ✄【Practical Gift】Handheld sewing machine is a portable, compact, lightweight and practical quick-hitting tool, meeting various sewing requirements in daily life. Perfect for tricky positioning that conventional machines can’t do. An ideal Christmas gift for mothers, girls, kids, teens, friends and family. ✄【Manual】Everyone will cope with this handheld sewing machine mini, just read the manual before start sewing. The instructions have the correct procedures, and if you read them carefully, you will learn quickly. If you have any problem in using the mini portable sewing machine, please contact us in time. Please rest assured to buy.","Arts, Crafts & Sewing › Sewing › Sewing Machines",WZHHPIDN,18.99,4.6,1325.0,8444,['https://m.media-amazon.com/images/I/71ngiiuwFUL._AC_SL1500_.jpg'],https://www.amazon.com/dp/B0BVLVPK9D
B0BHGSRV5F,"TOCARE DIY Paint by Numbers for Adult Kits Flowers, Moon Easy Paint by Numbers for Beginners, Acrylic Paint by Number for Kids, Painting by Numbers Perfect for Gift and Home Decor 16x20Inch","● This paint by number is the popular one which can brings bright colors to our life.The adults' paint-by-number kits is for adults children student beginners who want to learn oil painting and explore the potential artistic talents,experience many hours of joy creating and admiring your creation. ● Quality Panting Kits--- The canvas with clear printing for the numbers and lines,the 3 sized painting brushes can help you with the dedicated details, the safe quality colorful paint can be stored for a long time and turn out the painting perfectly. ● Easy to paint--- Just paint and match the paint numbers on the corresponding number on the canvas. Or Even you can even mix paint to create your own special painting. You can get a stunning painting once you complete the whole kit. ● What We Get --- When you are painting which can last hours,you can enjoy pleasure of concentration and forget the time passing, enhance patience with so many lines and colors. Once you finish the painting.you can get spiritual fulfillment and the confidence to finish job from beginning to the end . ● Best Gift Choice--- perfect gift for families and friends on birthday day,wedding day, Christmas day,New Year etc, great for home wall decor.you can frame the paint by number on canvas if you prefer. The various painting patterns can carry your best wishes to the beloved ones.","Arts, Crafts & Sewing › Painting, Drawing & Art Supplies › Drawing › Art Sets",TOCARE,11.99,4.2,2592.0,8479,['https://m.media-amazon.com/images/I/71N2vDg4Q5L._AC_SL1500_.jpg'],https://www.amazon.com/dp/B0BHGSRV5F
B0BHW3S8KF,"TOCARE DIY Paint by Numbers for Adult Kits Flowers, Moon Easy Paint by Numbers for Beginners, Acrylic Paint by Number for Kids, Painting by Numbers Perfect for Gift and Home Decor 16x20Inch","● This paint by number is the popular one which can brings bright colors to our life.The adults' paint-by-number kits is for adults children student beginners who want to learn oil painting and explore the potential artistic talents,experience many hours of joy creating and admiring your creation. ● Quality Panting Kits--- The canvas with clear printing for the numbers and lines,the 3 sized painting brushes can help you with the dedicated details, the safe quality colorful paint can be stored for a long time and turn out the painting perfectly. ● Easy to paint--- Just paint and match the paint numbers on the corresponding number on the canvas. Or Even you can even mix paint to create your own special painting. You can get a stunning painting once you complete the whole kit. ● What We Get --- When you are painting which can last hours,you can enjoy pleasure of concentration and forget the time passing, enhance patience with so many lines and colors. Once you finish the painting.you can get spiritual fulfillment and the confidence to finish job from beginning to the end . ● Best Gift Choice--- perfect gift for families and friends on birthday day,wedding day, Christmas day,New Year etc, great for home wall decor.you can frame the paint by number on canvas if you prefer. The various painting patterns can carry your best wishes to the beloved ones.","Arts, Crafts & Sewing › Painting, Drawing & Art Supplies › Drawing › Art Sets",TOCARE,11.99,4.2,2592.0,8479,['https://m.media-amazon.com/images/I/71N2vDg4Q5L._AC_SL1500_.jpg'],https://www.amazon.com/dp/B0BHW3S8KF
B0C4YCC372,"MEEJOA Brooches and Pins for Women, Gold or Silver Color with Rhinestone Crystal Flower Brooch Pins for Wedding Bouquet Party Decoration Broaches Set","Size: 1.18""-1.38"" (3cm-3.5cm), a pin on the back, easy to decorate to anywhere you like. Color: Gold and multi-color, very pretty. Pink, Red, Purple, Green, Blue, Brown Brooches. Quantity: 12 pieces (Mixed 12pc brooches in a pack). Material: Alloy + Rhinestone Wedding Bridal Bridesmaid Bouquet Decor brooches. Can be used for many craft decoration, DIY wedding bride bouquet, wedding bridal women girls dress, hat and bag decor, even the wedding birthday party cake decor.","Arts, Crafts & Sewing › Beading & Jewelry Making › Jewelry Findings › Pin Backs",MEEJOA,12.88,4.6,1094.0,8531,['https://m.media-amazon.com/images/I/712i6skfdAL._AC_UL1000_.jpg'],https://www.amazon.com/dp/B0C4YCC372
B08X6QDLQH,ABCGEMS Madagascan 2-Tone Gray Moonstone Beads (Gorgeous Flash) Natural Crystal Chakra Energy Healing Stone DIY Jewelry Making Smooth Round 8mm,"Introducing Madagascan Moonstone round beads, the perfect addition to your jewelry-making projects. These exquisite beads showcase a captivating 2-tone gray color that adds an elegant touch to any design. As a natural gemstone, these beads have not been dyed or color enhanced in any way. Each package includes one strand of loose beads, measuring 15.5 inches in length. Please note that the clasp is not included. With over 20 years of experience, ABC Gems USA is proud to bring you this rare and beautiful gemstone. Madagascan Moonstone is renowned for its rarity, making it a highly sought-after gemstone among collectors and jewelry enthusiasts. Its unique geological composition, combined with specific environmental conditions, contributes to its scarcity. Our Madagascan Moonstone round beads are carefully sourced to ensure their exceptional quality and rarity. Each bead is meticulously inspected to meet our high standards and provide you with a truly one-of-a-kind gemstone experience. At ABC Gems USA, we prioritize quality in every aspect of our products. Our Madagascan Moonstone round beads are no exception. We are proud to offer beads with consistent 1mm hole size and shape, allowing for seamless stringing and secure jewelry-making. Additionally, our beads are expertly polished to showcase their natural beauty and enhance their visual appeal. With our commitment to quality craftsmanship, you can trust that each bead will exceed your expectations. Madagascan Moonstone is a gemstone known for its enchanting qualities and unique characteristics. Its mesmerizing gray hues create a sense of tranquility and harmony, promoting emotional balance and inner peace. Many individuals incorporate Madagascan Moonstone into their spiritual practices, as it is believed to enhance intuition and promote spiritual growth. Experience the spiritual benefits of this exceptional gemstone as you create meaningful jewelry pieces with our Madagascan Moonstone round beads. To explore more of our exceptional products, simply type ""ABCGEMS"" at the top of the Amazon search bar. ABC Gems USA is dedicated to providing you with a wide range of high-quality gemstones and jewelry-making supplies. With our extensive selection and commitment to customer satisfaction, we aim to be your trusted source for all your gemstone needs. Discover the beauty and rarity of Madagascan Moonstone and unlock your creativity with ABC Gems USA.","Arts, Crafts & Sewing › Beading & Jewelry Making › Beads & Bead Assortments",ABC GEMS USA,19.99,4.7,935.0,8503,['https://m.media-amazon.com/images/I/81LWrMxevTL._AC_SL1500_.jpg'],https://www.amazon.com/dp/B08X6QDLQH
B0C2T58YGS,"PAXCOO 473Pcs Stone Jewelry Making Kit Crystal Stone Bracelet Making Kit for Adults, Crystal Natural Stone Healing Beads for Jewelry Making, Bracelet Making","GREAT VALUE SET – This 473pcs crystal bead kit come with 300pcs 8mm natural stone beads in 12 colors along with 3 rolls of elastic bracelet string cord and 170pcs bracelet accessories, great for bracelet and jewelry making HEALING STONES FOR JEWELRY MAKING – This stone bead bracelet making kit includes lava beads, Chakra Beads which can relieve the pressure and increase the powers of concentration by accelerating the metabolism and absorbing negative energy. You can use all these natural stone beads for healing and for making nice looking jewelry 8MM STONE BEADS FOR BRACELET MAKING – These real crystal beads for bracelet making are about 8mm in diameter and with nice smoothness, just the right size to make bracelet and other jewelry projects NECESSARY ACCESSORIES – These bracelet kit crystal beads come with lots of bracelet accessories like spacer beads, jump rings and silver charms. This crystal bead kit has everything you need in a nice little plastic box GOOD BEADS TO MAKE YOUR OWN JEWELRY – These natural crystal beads 8mm are great for crafting and jewelry making. Perfect to DIY unique delicate necklaces, bracelets, anklets, earrings or other jewelry making","Arts, Crafts & Sewing › Beading & Jewelry Making › Beading Supplies › Beading Kits",PAXCOO,19.99,4.6,998.0,8466,['https://m.media-amazon.com/images/I/81sV34TgRmL._AC_SL1500_.jpg'],https://www.amazon.com/dp/B0C2T58YGS
B08DQ9B8K9,"Everything Mary Collapsible Sewing Kit Organizer Box, Black & Blue Quilted - Supplies Storage Basket for Supplies and Accessories - Organization for Thread, Needles, Notions & Scissors","Premium Sewing Baskets - This bag is constructed with strong, durable polyester to keep your tools safe for many years to come Optimal Sewing Box Organizer - Measuring 10"" x 8"" x 6"", you can organize your thread, needles, notions & accessories all in one place Portable Sewing Storage Organizer - This case lays flat and comes with durable handles to make your traveling easier Customer First Guarantee - We provide a 100%, no questions asked money back guarantee if you're not satisfied - we want you to be delighted with our products The Difference For Crafters - We offer our customers thoughtfully-designed, well-crafted storage solutions to help organize their homes and their lives","Arts, Crafts & Sewing › Organization, Storage & Transport › Craft & Sewing Supplies Storage › Sewing Storage",Everything Mary,16.99,4.6,929.0,8430,['https://m.media-amazon.com/images/I/71Mz+SYWheL._AC_SL1500_.jpg'],https://www.amazon.com/dp/B08DQ9B8K9
